ENSEMBL	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000000003	435.1368674009952	0.09722994378298219	0.12522876231054175	0.7764186277100766	0.4375018495183336	0.6440797911786855
ENSG00000000419	70.29880811486197	0.16587898082838	0.0796635348951947	2.082244794266414	0.037320115617909544	0.12583627926958782
ENSG00000000457	134.0035245208783	0.24672449543950029	0.0757096510484722	3.2588248925033065	0.001118746966888841	0.008776101619302422
ENSG00000000460	52.11285565496912	-0.08848738515361394	0.10376420116221588	-0.8527737327759166	0.39378479310902537	0.6074047460232563
ENSG00000000938	234.66203376597812	-1.6625104011024667	0.3033457192855436	-5.480579732649935	4.239344115665944e-8	1.7826442006375292e-6
ENSG00000000971	260.28116545758826	0.8551038113096457	0.12332203461516954	6.933909369708546	4.09366972487467e-12	4.6065315868853773e-10
ENSG00000001036	115.5131125000193	-0.02613292683704407	0.07699992322573679	-0.3393889986153816	0.7343167051508552	0.8583527119456567
ENSG00000001084	792.419760759982	-0.04948526971516486	0.11674188278338749	-0.42388617122942857	0.6716488298472942	0.8172977596969881
ENSG00000001167	97.52861299868916	-0.2091682894024696	0.10784649665480421	-1.9395000847545085	0.05244047421772646	0.16145401493738945
ENSG00000001460	171.104508161463	-0.07120165948415272	0.11663073323133984	-0.6104879692638349	0.5415386105155159	0.7269191412489439
ENSG00000001461	201.70863800008038	-0.07402069539494702	0.09033093601441097	-0.8194390389482746	0.41253596930647024	0.6229480849851592
ENSG00000001497	77.88132383995757	-0.014738885412062622	0.10093392315631318	-0.1460250919726659	0.8839015802113174	0.943202281043894
ENSG00000001561	304.2607248928048	0.20473644195478843	0.12375250618427089	1.6544023896367015	0.09804578126779158	0.2485399265781467
ENSG00000001617	140.72299730970846	-0.08936597263200435	0.13187018272920284	-0.677681419578515	0.4979737097560543	0.6925861178685693
ENSG00000001626	180.5356312175681	-0.6237686396403078	0.22489619247600112	-2.7735847048938846	0.005544240476114364	0.030857338407464793
ENSG00000001629	257.4842788443036	-0.09809170816632067	0.08921630946805244	-1.0994817959988181	0.2715579699856142	0.48143852389386205
ENSG00000001630	103.38888672875623	0.1678030324360672	0.10340535887576215	1.6227692090665877	0.10463875022489101	0.26076459604546687
ENSG00000001631	156.75067450957692	0.016074611172478524	0.09231860550686709	0.17412103534517556	0.8617703419001063	0.9311865144622409
ENSG00000002016	64.62584780669077	0.02046578376377734	0.14505895934659524	0.14108596846388244	0.8878020283145689	0.9454937756890494
ENSG00000002330	64.97433098006933	-0.08750433949229917	0.1301230365759098	-0.6724738508638463	0.5012820817212146	0.6950687150729865
ENSG00000002549	468.72158752777267	1.5745425630118546	0.13288806663642042	11.848637751046356	2.187173427139326e-32	1.8394128522241732e-29
ENSG00000002586	122.97705422444699	-0.07123145344108264	0.09632641743138429	-0.7394799406073893	0.45961561593726274	0.6621166540805554
ENSG00000002587	159.54629187147916	0.5866003473486655	0.13534856620786137	4.333997498339176	1.4642583886224243e-5	2.4577084865333736e-4
ENSG00000002726	4.515264646990743	-0.7317325004740024	0.2626761933114281	-2.785682597457405	0.005341514621438272	0.029969122940997944
ENSG00000002746	17.64311664570151	-0.11630074623123621	0.36476910231937637	-0.31883387461202295	0.7498524895479017	0.8680015162623821
ENSG00000002822	59.61119335723259	0.2001527597993481	0.13494760301215808	1.48318869940443	0.1380242827812815	0.31503603857405194
ENSG00000002834	690.967301231266	-0.24354950311643694	0.08294528118512035	-2.9362671346290834	0.003321881223090826	0.020775084173686228
ENSG00000002919	75.31725385059163	-0.13916048961682348	0.1759341030339349	-0.790980754822626	0.4289552220211071	0.6370681395536114
ENSG00000002933	19.163245036193715	0.4722029326945214	0.20571515336190055	2.2954212413502044	0.02170899519306712	0.08575723960198257
ENSG00000003056	137.11570554849152	0.2831086808222996	0.09836919674405628	2.878021679478701	0.004001776368080988	0.024093588766226866
ENSG00000003096	17.901171628548518	0.16784777543202825	0.17414159424184858	0.9638580384128134	0.33511710400002714	0.5490450327915958
ENSG00000003147	95.1477183586478	0.1351873558732131	0.13361907440037593	1.01173695806437	0.3116638395702404	0.5246051293050533
ENSG00000003249	20.487295035369236	-0.13131541185926623	0.1508099314964913	-0.8707345103616162	0.3838991307373675	0.5978873499076408
ENSG00000003393	160.96629591174644	-0.06345529093109285	0.09657296213413723	-0.657070980622456	0.511135277228551	0.7037248487708958
ENSG00000003400	182.19827458551956	-0.0034449038837867274	0.12831050045297876	-0.026848183676511823	0.978580822036194	0.9901686268564048
ENSG00000003402	2127.452739263039	-0.21156729865330212	0.12147412763737592	-1.7416655115636803	0.08156699070145715	0.2182449672502652
ENSG00000003436	444.8710019049538	-0.2134997907817127	0.10198560016662334	-2.0934307434863184	0.036310720415429015	0.12350127746235424
ENSG00000003509	30.44512761291386	0.04276587913075426	0.12511355884135117	0.3418165027579709	0.73248898944107	0.8569808723388077
ENSG00000003756	409.8596859955858	0.06885429212625109	0.08258640247910062	0.8337243185241712	0.40443635110527504	0.6160432510526712
ENSG00000003987	39.54797155843762	-0.12885192768318024	0.1613970406629711	-0.7983537192125383	0.4246652523935619	0.633877771125859
ENSG00000003989	351.28840316059603	0.09166518472168764	0.16358498568857247	0.5603520661498648	0.5752393200187772	0.7528587833740559
ENSG00000004059	109.9946206099119	-0.24487563510054208	0.08604968404052825	-2.845747056842288	0.004430737427230928	0.026076888894925602
ENSG00000004139	111.51676993040505	-0.299736344194892	0.12708935119981327	-2.358469386814624	0.01835047327202792	0.07553380020961724
